source,'s ,. the, mind,"ver, ","ever,","ver,",n't ,n't,'t ,. how,ethe,]. ,hout ,ue t,ether, his ,joy ,nclu,hout,ch as,'re ,ue to, inc,. ho,joy,]. i,h as ,oy ,ou',njoy ,s] .,", tha", sai, it’s,"','",sai,-- , it’,"', """,said, said,it’s,it’s ,.” ,it’, – ,",” ",] . , . ,] ., — ,s] ,".',",. “,t’s,t’s ,’t ,n’t ,n’t,’s 
answers,0.9955223880596898,0.994029850746257,0.2537313432835812,0.4194029850746277,0.37761194029850786,0.42388059701492625,0.9880597014925259,0.9895522388059587,0.9880597014925259,0.43582089552238906,0.44776119402985187,0.016417910447761194,0.5537313432835823,0.46417910447761324,0.4402985074626876,0.3820895522388064,0.053731343283582124,0.3731343283582093,0.5611940298507463,0.3641791044776122,0.7522388059701441,0.3880597014925378,0.723880597014921,0.5000000000000017,0.08059701492537319,0.0,0.38656716417910497,0.14477611940298502,0.6835820895522355,0.0447761194029851,0.0,0.5134328358208968,0.40895522388059774,0.0,0.7447761194029802,0.42089552238806055,0.0,0.0,0.7999999999999936,0.3955223880597021,0.39402985074626923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022388059701492543,0.0,0.0,0.14179104477611937,0.8970149253731253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blog,0.85786802030457,0.7563451776649758,0.23857868020304543,0.19796954314720797,0.15228426395939082,0.19796954314720797,0.7766497461928946,0.786802030456854,0.7766497461928946,0.18274111675126892,0.23350253807106575,0.015228426395939085,0.2436548223350251,0.1319796954314721,0.22335025380710638,0.5685279187817265,0.08121827411167513,0.16751269035532987,0.2588832487309642,0.09137055837563453,0.32994923857868014,0.10152284263959392,0.2182741116751267,0.22842639593908606,0.1573604060913705,0.005076142131979695,0.08629441624365483,0.17258883248730955,0.23857868020304543,0.07614213197969544,0.0,0.27918781725888303,0.39086294416243667,0.06598984771573604,0.0,0.4060913705583758,0.1269035532994924,0.06598984771573604,0.0,0.38578680203045695,0.38578680203045695,0.06598984771573604,0.06598984771573604,0.05583756345177666,0.06598984771573604,0.015228426395939085,0.025380710659898477,0.0,0.20812182741116733,0.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.04060913705583757,0.07614213197969544,0.07614213197969544,0.07614213197969544,0.07614213197969544,0.07614213197969544,0.10152284263959392
chatgpt,0.7999999999999885,0.9398230088495427,0.08938053097345153,0.6460176991150364,0.6132743362831787,0.6460176991150364,0.22212389380531097,0.22566371681416056,0.22212389380531097,0.5548672566371624,0.31415929203539816,0.0,0.2646017699115055,0.36548672566371554,0.28053097345132816,0.4654867256637132,0.049557522123893805,0.5867256637168077,0.27256637168141684,0.3132743362831858,0.07787610619469038,0.29734513274336316,0.6504424778760982,0.5743362831858345,0.0964601769911507,0.0,0.3221238938053095,0.10088495575221268,0.050442477876106194,0.03716814159292035,0.0,0.06637168141592922,0.2150442477876118,0.04513274336283186,0.0,0.22212389380531097,0.007079646017699115,0.04513274336283186,0.0,0.20000000000000107,0.20000000000000107,0.05221238938053097,0.05221238938053097,0.10884955752212425,0.05221238938053097,0.06460176991150443,0.09823008849557549,0.0,0.0,0.0,0.007964601769911504,0.004424778761061947,0.0,0.04424778761061947,0.10530973451327466,0.10530973451327466,0.06283185840707964,0.06283185840707964,0.06283185840707964,0.36017699115044133
davinci,0.9214780600461856,0.9099307159353313,0.09699769053117778,0.3764434180138577,0.3648960739030031,0.38106235565819957,0.7759815242494209,0.7806004618937626,0.7759815242494209,0.34180138568129387,0.6143187066974601,0.03695150115473441,0.7528868360277122,0.6189376443418019,0.6120092378752893,0.29099307159353355,0.04618937644341802,0.669745958429561,0.7551963048498831,0.6397228637413397,0.5450346420323341,0.6004618937644349,0.7644341801385666,0.35796766743649033,0.0877598152424942,0.004618937644341801,0.6420323325635106,0.12702078521939944,0.36951501154734495,0.04387990762124712,0.0,0.06928406466512703,0.2863741339491917,0.0,0.027713625866050803,0.29099307159353355,0.0,0.0,0.041570438799076216,0.277136258660508,0.277136258660508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03464203233256351,0.0,0.0,0.0069284064665127015,0.03464203233256351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flan_t5,0.9113924050632953,0.8506329113924089,0.22784810126582333,0.4962025316455716,0.47848101265822973,0.4962025316455716,0.9012658227848143,0.9012658227848143,0.9012658227848143,0.41012658227848253,0.6911392405063321,0.03291139240506329,0.7544303797468388,0.518987341772154,0.6886075949367119,0.5215189873417743,0.12658227848101267,0.49113924050633107,0.7544303797468388,0.37974683544303933,0.6000000000000025,0.44810126582278653,0.6886075949367119,0.4278481012658244,0.2000000000000004,0.015189873417721518,0.38481012658227987,0.21265822784810173,0.37721518987341907,0.11645569620253164,0.0,0.12911392405063293,0.44050632911392573,0.0,0.002531645569620253,0.443037974683546,0.0,0.0,0.0,0.43037974683544467,0.43037974683544467,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.020253164556962026,0.012658227848101266,0.0,0.00759493670886076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-3,0.5135135135135147,0.820945945945949,0.04391891891891892,0.16216216216216198,0.14189189189189175,0.16216216216216198,0.19932432432432406,0.19932432432432406,0.19932432432432406,0.13851351351351338,0.14527027027027012,0.0,0.0878378378378378,0.135135135135135,0.14527027027027012,0.2567567567567564,0.05405405405405406,0.2635135135135132,0.09121621621621617,0.0878378378378378,0.12837837837837826,0.10135135135135129,0.3648648648648652,0.16216216216216198,0.09459459459459454,0.0,0.09121621621621617,0.0878378378378378,0.07770270270270269,0.05067567567567568,0.0,0.05067567567567568,0.304054054054054,0.0641891891891892,0.0,0.304054054054054,0.013513513513513514,0.0641891891891892,0.0,0.2939189189189188,0.2939189189189188,0.0641891891891892,0.0641891891891892,0.05067567567567568,0.0641891891891892,0.04391891891891892,0.037162162162162164,0.0,0.010135135135135136,0.0,0.02702702702702703,0.0033783783783783786,0.0,0.037162162162162164,0.07432432432432431,0.07432432432432431,0.07770270270270269,0.07770270270270269,0.07770270270270269,0.1587837837837836
gpt-3.5,0.9560439560439532,0.9038461538461512,0.15934065934065927,0.4175824175824166,0.39285714285714196,0.4175824175824166,0.8736263736263711,0.8763736263736238,0.8736263736263711,0.3351648351648345,0.6730769230769212,0.019230769230769232,0.7994505494505472,0.6153846153846138,0.664835164835163,0.4780219780219768,0.10989010989010993,0.6098901098901083,0.7994505494505472,0.5439560439560426,0.5302197802197789,0.5439560439560426,0.728021978021976,0.36263736263736185,0.1538461538461538,0.005494505494505495,0.549450549450548,0.19230769230769212,0.2994505494505489,0.10439560439560443,0.0,0.13461538461538464,0.37637362637362554,0.0,0.005494505494505495,0.3791208791208783,0.0,0.0,0.0027472527472527475,0.3681318681318673,0.3681318681318673,0.0,0.0,0.0,0.0,0.0,0.0,0.013736263736263738,0.03571428571428571,0.013736263736263738,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4,0.45430107526881686,0.7620967741935478,0.04704301075268815,0.22715053763440843,0.20295698924731168,0.22715053763440843,0.05779569892473115,0.0604838709677419,0.05779569892473115,0.17338709677419342,0.1801075268817203,0.0,0.3064516129032256,0.29166666666666646,0.17069892473118267,0.4086021505376341,0.06182795698924728,0.5887096774193544,0.30779569892473096,0.46639784946236523,0.02419354838709677,0.25537634408602133,0.6706989247311823,0.1801075268817203,0.11424731182795692,0.0,0.4677419354838706,0.08870967741935479,0.010752688172043013,0.048387096774193526,0.0,0.02150537634408602,0.07526881720430104,0.01881720430107527,0.0,0.07795698924731179,0.004032258064516129,0.01881720430107527,0.0,0.0551075268817204,0.0551075268817204,0.020161290322580645,0.020161290322580645,0.04704301075268815,0.020161290322580645,0.02956989247311827,0.022849462365591395,0.0,0.0,0.0,0.005376344086021506,0.0013440860215053765,0.0,0.005376344086021506,0.0551075268817204,0.0551075268817204,0.01881720430107527,0.01881720430107527,0.01881720430107527,0.3548387096774191
gpt2,0.9268292682926836,0.9237804878048788,0.1341463414634147,0.31707317073170754,0.26524390243902457,0.3231707317073173,0.661585365853659,0.661585365853659,0.661585365853659,0.21951219512195136,0.3201219512195124,0.003048780487804878,0.22256097560975624,0.25304878048780505,0.31707317073170754,0.48780487804878087,0.0731707317073171,0.3902439024390247,0.23475609756097576,0.14024390243902446,0.35060975609756123,0.17073170731707327,0.5975609756097565,0.25304878048780505,0.11890243902439031,0.003048780487804878,0.15243902439024398,0.16158536585365862,0.25609756097560993,0.06402439024390245,0.0,0.24085365853658552,0.4634146341463418,0.0,0.0,0.4664634146341467,0.04878048780487806,0.0,0.0,0.4481707317073174,0.4481707317073174,0.0,0.0,0.0,0.0,0.10060975609756102,0.0,0.003048780487804878,0.042682926829268296,0.003048780487804878,0.1493902439024391,0.030487804878048776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news articles,0.981395348837218,0.9976744186046602,0.2302325581395344,0.47906976744185925,0.413953488372092,0.47906976744185925,0.9860465116279158,0.9860465116279158,0.9860465116279158,0.46279069767441744,0.48604651162790574,0.011627906976744186,0.5395348837209297,0.45581395348837095,0.4813953488372081,0.35581395348837125,0.05581395348837209,0.3441860465116271,0.5511627906976742,0.3604651162790689,0.7441860465116317,0.3837209302325572,0.676744186046514,0.5162790697674409,0.0930232558139534,0.002325581395348837,0.39302325581395253,0.1697674418604648,0.6674418604651184,0.053488372093023255,0.0,0.4441860465116268,0.4581395348837198,0.0,0.7046511627907006,0.46279069767441744,0.0,0.0,0.8418604651162849,0.44186046511627797,0.44186046511627797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013953488372093023,0.0,0.0,0.16744186046511597,0.8860465116279137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
