f1,brier,auc,setting,features,model
0.8907198612315698,0.08137107451150907,0.9591725745527008,random_80_20,char_tfidf_3-5,LR_calibrated
0.8621513944223107,0.1282298502172523,0.943958816494378,random_80_20,char_tfidf_3-5,RF
0.09489795918367347,0.452076335409705,0.453534176460011,holdout_ai:paraphrase,char_tfidf_3-5,LR_calibrated
0.1615598885793872,0.26699149475038025,0.546325910324515,holdout_ai:paraphrase,char_tfidf_3-5,RF
0.8287864534336783,0.11388839577895728,0.930267836165714,holdout_ai:chatgpt,char_tfidf_3-5,LR_calibrated
0.8048021342819031,0.16847336874182067,0.8924958884799122,holdout_ai:chatgpt,char_tfidf_3-5,RF
0.9329073482428115,0.05772507450023313,0.9819252948317724,holdout_ai:gpt-4,char_tfidf_3-5,LR_calibrated
0.9007352941176471,0.1342833992043004,0.9756122456353333,holdout_ai:gpt-4,char_tfidf_3-5,RF
0.8594847775175644,0.09693915868957781,0.9430099899194087,holdout_ai:davinci,char_tfidf_3-5,LR_calibrated
0.8204545454545454,0.15624726393117097,0.9067891982996336,holdout_ai:davinci,char_tfidf_3-5,RF
0.836272040302267,0.10972522916375689,0.9268060375160766,holdout_ai:opt-iml,char_tfidf_3-5,LR_calibrated
0.816969696969697,0.15623404706340208,0.8999702734839478,holdout_ai:opt-iml,char_tfidf_3-5,RF
0.8743718592964824,0.0938573751488543,0.9423618009934306,holdout_ai:flan_t5,char_tfidf_3-5,LR_calibrated
0.8331273176761433,0.15423590905477585,0.9041531805800354,holdout_ai:flan_t5,char_tfidf_3-5,RF
0.9131578947368421,0.06791358029333158,0.9704142011834319,holdout_ai:gpt-3.5,char_tfidf_3-5,LR_calibrated
0.8701298701298701,0.14579735390793405,0.9341074447530492,holdout_ai:gpt-3.5,char_tfidf_3-5,RF
0.3087557603686636,0.34509056160684015,0.7213990928019036,holdout_ai:gpt2,char_tfidf_3-5,LR_calibrated
0.30869565217391304,0.23490797759440316,0.6860592653182629,holdout_ai:gpt2,char_tfidf_3-5,RF
