accuracy,precision,recall,f1,brier,tn,fp,fn,tp,auc,setting,features,model,n_train,n_test
0.8843506195502524,0.8945993031358885,0.886873920552677,0.8907198612315698,0.08137107451150907,900,121,131,1027,0.9591725745527008,random_80_20,char_tfidf_3-5,LR_calibrated,8713,2179
0.8412115649380449,0.8002958579881657,0.9343696027633851,0.8621513944223107,0.1282298502172523,751,270,76,1082,0.9439592393924476,random_80_20,char_tfidf_3-5,RF,8713,2179
0.47638724911452185,0.34962406015037595,0.05489964580873672,0.09489795918367347,0.452076335409705,1521,173,1601,93,0.453534176460011,holdout_ai:paraphrase,char_tfidf_3-5,LR_calibrated,6816,3388
0.4669421487603306,0.3782608695652174,0.10271546635182999,0.1615598885793872,0.26699149475038025,1408,286,1520,174,0.546325910324515,holdout_ai:paraphrase,char_tfidf_3-5,RF,6816,3388
0.8389380530973451,0.8845381526104418,0.779646017699115,0.8287864534336783,0.11388839577895728,1015,115,249,881,0.930267836165714,holdout_ai:chatgpt,char_tfidf_3-5,LR_calibrated,7944,2260
0.8057522123893806,0.80875781948168,0.8008849557522124,0.8048021342819031,0.16847336874182067,916,214,225,905,0.8924970631999374,holdout_ai:chatgpt,char_tfidf_3-5,RF,7944,2260
0.9294354838709677,0.8891595615103532,0.9811827956989247,0.9329073482428115,0.05772507450023313,653,91,14,730,0.9819252948317724,holdout_ai:gpt-4,char_tfidf_3-5,LR_calibrated,8716,1488
0.8911290322580645,0.8277027027027027,0.9879032258064516,0.9007352941176471,0.1342833992043004,591,153,9,735,0.975611342351717,holdout_ai:gpt-4,char_tfidf_3-5,RF,8716,1488
0.8614318706697459,0.8717339667458432,0.8475750577367206,0.8594847775175644,0.09693915868957781,379,54,66,367,0.9430099899194087,holdout_ai:davinci,char_tfidf_3-5,LR_calibrated,9338,866
0.8175519630484989,0.8076062639821029,0.8337182448036952,0.8204545454545454,0.15624726393117097,347,86,72,361,0.9067918651227538,holdout_ai:davinci,char_tfidf_3-5,RF,9338,866
0.8399014778325123,0.8556701030927835,0.8177339901477833,0.836272040302267,0.10972522916375689,350,56,74,332,0.9268060375160766,holdout_ai:opt-iml,char_tfidf_3-5,LR_calibrated,9392,812
0.8140394088669951,0.8042959427207638,0.8300492610837439,0.816969696969697,0.15623404706340208,324,82,69,337,0.8999702734839476,holdout_ai:opt-iml,char_tfidf_3-5,RF,9392,812
0.8734177215189873,0.8678304239401496,0.8810126582278481,0.8743718592964824,0.0938573751488543,342,53,47,348,0.9423618009934306,holdout_ai:flan_t5,char_tfidf_3-5,LR_calibrated,9414,790
0.8291139240506329,0.8140096618357487,0.8531645569620253,0.8331273176761433,0.15423590905477585,318,77,58,337,0.9041531805800352,holdout_ai:flan_t5,char_tfidf_3-5,RF,9414,790
0.9093406593406593,0.8762626262626263,0.9532967032967034,0.9131578947368421,0.06791358029333158,315,49,17,347,0.9704142011834319,holdout_ai:gpt-3.5,char_tfidf_3-5,LR_calibrated,9476,728
0.8626373626373627,0.8251231527093597,0.9203296703296703,0.8701298701298701,0.14579735390793405,293,71,29,335,0.9341074447530491,holdout_ai:gpt-3.5,char_tfidf_3-5,RF,9476,728
0.5426829268292683,0.6320754716981132,0.20426829268292682,0.3087557603686636,0.34509056160684015,289,39,261,67,0.7213990928019036,holdout_ai:gpt2,char_tfidf_3-5,LR_calibrated,9548,656
0.5152439024390244,0.5378787878787878,0.21646341463414634,0.30869565217391304,0.23490797759440316,267,61,257,71,0.6860592653182629,holdout_ai:gpt2,char_tfidf_3-5,RF,9548,656
