feature,weight
's ,1.3507487162786358
. the,1.0378039027917565
 mind,0.9227324512851668
"ver, ",0.9173200434421559
"ever,",0.9134928945110085
"ver,",0.9005780159633103
n't ,0.8960186225206382
n't,0.8923928605502983
't ,0.8900786342022478
. how,0.8545159905823964
ethe,0.8428089566190737
]. ,0.8320423309037085
hout ,0.8279300011286667
ue t,0.8038254641697916
ether,0.7938130317858572
 his ,0.7704552756927995
joy ,0.77031193532153
nclu,0.7637467134975536
hout,0.763128742334728
ch as,0.7608131649536757
're ,0.7576539476857617
ue to,0.7563972824072015
 inc,0.7508023413031696
. ho,0.7506591740159693
joy,0.7470403470018104
]. i,0.7383254577585429
h as ,0.7322279821504896
oy ,0.7321889376517102
ou',0.7292087377439386
njoy ,0.7279336837081707
