feature,weight
’s ,-2.03530059148124
n’t,-1.920244569631038
’t ,-1.8962306973252605
n’t ,-1.8962306973252605
t’s ,-1.65738915275855
t’s,-1.6573271428296565
. “,-1.5986426248346974
".',",-1.5832760392891703
s] ,-1.48137610339345
 — ,-1.4725335972853764
] .,-1.2683013032732997
 . ,-1.2573652937314739
] . ,-1.2464146854776996
",” ",-1.244909463820659
 – ,-1.2370733835163097
it’,-1.2022197023440757
.” ,-1.188108003278603
it’s ,-1.1856350137146159
it’s,-1.1843267856556925
 said,-1.1641940566151043
said,-1.1629480837558097
"', """,-1.1311136875151382
 it’,-1.122372368156914
-- ,-1.1187176156546377
sai,-1.1147360511305353
"','",-1.1100811007132445
 it’s,-1.105622114200662
 sai,-1.1047139626740348
", tha",-1.0999764425063125
s] .,-1.0909207032174262
